AnimalID,Name,DateTime,FoundLocation,Latitude,Longitude,IntakeType,IntakeCondition,AnimalType,IntakeSex,IntakeAge,Breed
A765476,Lola,1/22/18 12:13,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Spayed Female,3 years,Pit Bull Mix
A765548,Zoey,1/22/18 13:28,12120 Shropshire Boulevard in Austin (TX),30.3866644,-97.658435,Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix
A721494,Dallas,1/22/18 13:28,12120 Shropshire Boulevard in Austin (TX),30.3866644,-97.658435,Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix
A730105,Jackson,1/22/18 17:06,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Neutered Male,2 years,Pointer/Pit Bull
A765564,Smoker,1/22/18 17:31,7216 Meador Ave in Austin (TX),30.3303243,-97.6956931,Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix
A765565,Faith,1/22/18 17:31,7216 Meador Ave in Austin (TX),30.3303243,-97.6956931,Stray,Normal,Dog,Intact Female,6 months,Pit Bull Mix
A683757,Daisy,1/22/18 17:31,7216 Meador Ave in Austin (TX),30.3303243,-97.6956931,Stray,Normal,Dog,Spayed Female,4 years,Pit Bull Mix
A765566,*Two Tone,1/22/18 17:49,8615 Pleasant Ln in Austin (TX),30.3413141,-97.6753498,Stray,Normal,Dog,Intact Female,10 months,Pit Bull Mix
A668370,Jorge,1/22/18 21:19,Austin (TX),30.267153,-97.7430608,Stray,Normal,Dog,Intact Male,12 years,Pit Bull Mix
A744369,Buddy,1/23/18 11:39,Montopolis Drive And Santos Street in Austin (TX),30.2287733,-97.7010069,Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix
A765615,Jinkies,1/23/18 14:39,Loyola And Wentworth in Austin (TX),30.2929458,-97.6315886,Stray,Normal,Dog,Intact Female,7 months,Boxer/Pit Bull
A765622,,1/23/18 15:53,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Intact Male,1 month,Pit Bull Mix
A765410,Tiny Jr.,1/23/18 15:54,2523 Dovemeadow in Austin (TX),30.1901585,-97.7526413,Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix
A765651,Bibi,1/24/18 8:42,120 W. Oltorf in Austin (TX),30.2398247,-97.7541481,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix
A679597,Bruno,1/24/18 13:12,6102 Caroline in Austin (TX),30.2592958,-97.5734994,Stray,Normal,Dog,Neutered Male,4 years,Pit Bull/Labrador Retriever
A765672,Anthony,1/24/18 14:08,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Intact Male,9 months,Pit Bull Mix
A765512,Vanilla,1/24/18 14:41,Austin (TX),30.267153,-97.7430608,Public Assist,Normal,Dog,Spayed Female,5 years,Pit Bull Mix
A765695,Harvey Quinn,1/24/18 19:14,Bittern Hollow And Jersey Drive in Austin (TX),30.3914641,-97.6995683,Stray,Normal,Dog,Spayed Female,3 years,Pit Bull Mix
A765714,*Sierra,1/25/18 12:58,5902 Thames Drive in Austin (TX),30.3116886,-97.687307,Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix
A765737,*Ernie,1/25/18 15:58,11316 Farmhaven Rd in Austin (TX),30.3518803,-97.6174027,Stray,Normal,Dog,Intact Male,2 years,Pit Bull/Weimaraner
A631093,Chugar,1/25/18 16:18,1910 Hearthside in Austin (TX),30.3662586,-97.7222151,Stray,Normal,Dog,Intact Female,5 years,Pit Bull Mix
A765753,*Peach,1/26/18 9:31,5800 Techni Center in Austin (TX),30.2797067,-97.6699519,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix
A765759,Odin Cooper,1/26/18 12:15,Austin (TX),30.267153,-97.7430608,Public Assist,Normal,Dog,Intact Male,1 year,Pit Bull Mix
A765795,Tigre,1/27/18 9:45,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Intact Male,3 years,Pit Bull Mix
A765374,Koda,1/27/18 11:56,Austin (TX),30.267153,-97.7430608,Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix
A752579,Faneto,1/27/18 11:59,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Neutered Male,2 years,Pit Bull Mix
A765818,Kraytos,1/27/18 16:51,1840 Burton Dr in Austin (TX),30.235465,-97.729792,Public Assist,Normal,Dog,Neutered Male,3 years,Pit Bull Mix
A761022,Jo,1/28/18 12:08,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Spayed Female,9 months,Pit Bull Mix
A623561,Marley,1/28/18 16:38,Caballo Blanco Road And Prado Ranch Boulevard in Austin (TX),30.2201059,-97.6345809,Stray,Normal,Dog,Neutered Male,8 years,Pit Bull Mix
A765754,Ruckus,1/28/18 17:28,Lago Vista (TX),30.4601975,-97.9883477,Public Assist,Normal,Dog,Intact Female,2 years,Boxer/Pit Bull
A765866,*Domino,1/28/18 19:24,6118 Fairway St in Austin (TX),30.2295189,-97.7024152,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix
